trip_id,distance_km,avg_speed_kmph,temperature_C,battery_used_kWh,battery_start_%,battery_end_%,driving_style
1,12.5,32,27,3.1,88,72,Normal
2,18.3,45,30,4.6,95,70,Aggressive
3,25.8,38,22,5.0,90,61,Normal
4,9.4,28,18,2.2,76,64,Calm
5,31.6,52,34,6.8,100,62,Aggressive
6,20.1,41,29,4.5,82,63,Normal
7,15.4,36,31,3.7,78,64,Calm
8,27.9,48,33,5.9,91,62,Aggressive
9,10.2,30,25,2.5,86,75,Calm
10,22.7,44,28,5.2,93,71,Normal
11,13.8,33,26,3.0,81,70,Calm
12,19.2,42,30,4.4,88,67,Normal
13,24.6,47,32,5.7,92,66,Aggressive
14,8.5,27,20,2.0,75,66,Calm
15,17.3,39,23,3.9,83,67,Normal
16,29.4,50,35,6.3,97,65,Aggressive
17,11.1,31,24,2.7,79,69,Calm
18,21.5,43,29,4.9,90,70,Normal
19,26.8,46,33,5.8,94,68,Aggressive
20,9.9,28,22,2.3,78,68,Calm
21,14.7,35,27,3.4,82,68,Normal
22,28.0,51,34,6.0,96,70,Aggressive
23,16.2,37,25,3.8,85,72,Normal
24,23.7,45,30,5.1,91,69,Aggressive
25,12.9,33,26,3.2,80,69,Calm
26,18.8,40,28,4.5,89,71,Normal
27,27.3,49,32,5.9,95,72,Aggressive
28,10.7,30,23,2.6,77,69,Calm
29,22.1,42,29,4.8,90,68,Normal
30,15.9,36,24,3.5,84,70,Calm
31,30.2,52,35,6.5,98,67,Aggressive
32,19.6,41,28,4.6,87,69,Normal
33,13.4,34,25,3.1,82,71,Calm
34,25.5,47,31,5.6,93,70,Aggressive
35,11.8,32,23,2.9,79,70,Calm
36,20.9,44,30,4.9,91,72,Normal
37,28.6,50,34,6.2,97,71,Aggressive
38,10.4,29,22,2.4,76,68,Calm
39,23.2,46,31,5.3,92,69,Normal
40,14.5,35,26,3.3,83,70,Calm
41,26.1,48,33,5.7,95,69,Aggressive
42,18.0,39,28,4.2,88,72,Normal
43,21.9,43,30,5.0,90,71,Normal
44,16.7,38,27,3.9,84,71,Calm
45,29.8,51,35,6.4,97,70,Aggressive
46,12.6,33,25,3.0,81,70,Calm
47,17.8,40,29,4.3,86,72,Normal
48,24.9,46,32,5.6,94,71,Aggressive
49,11.2,31,24,2.8,78,69,Calm
50,22.4,44,30,5.1,91,70,Normal
51,14.9,36,26,3.4,82,71,Calm
52,27.6,49,33,6.0,96,70,Aggressive
53,19.1,41,29,4.7,89,70,Normal
54,13.7,34,25,3.2,80,72,Calm
55,25.8,47,32,5.7,93,71,Aggressive
56,10.9,30,23,2.5,77,70,Calm
57,20.3,42,28,4.6,87,71,Normal
58,28.3,50,34,6.1,98,71,Aggressive
59,15.5,37,27,3.6,83,70,Calm
60,23.9,45,31,5.4,92,70,Normal
61,17.1,38,26,3.8,85,69,Calm
62,30.5,53,36,6.7,100,70,Aggressive
63,21.3,44,30,4.9,90,72,Normal
64,12.3,33,25,3.0,80,70,Calm
65,26.4,48,33,5.8,94,70,Aggressive
66,11.5,31,23,2.7,79,71,Calm
67,22.8,45,30,5.2,91,72,Normal
68,14.2,35,26,3.3,83,70,Calm
69,27.9,51,34,6.1,97,71,Aggressive
70,18.6,40,28,4.4,88,71,Normal
71,13.1,34,25,3.1,81,72,Calm
72,24.3,46,31,5.5,92,70,Aggressive
73,10.8,30,23,2.6,76,70,Calm
74,20.7,43,29,4.7,89,71,Normal
75,29.0,52,35,6.3,99,72,Aggressive
76,16.5,38,27,3.8,84,71,Calm
77,23.5,45,30,5.3,90,70,Normal
78,12.8,33,25,3.0,82,72,Calm
79,28.8,50,34,6.2,96,71,Aggressive
80,19.4,41,29,4.6,88,70,Normal
81,14.6,36,26,3.4,83,71,Calm
82,25.9,47,32,5.7,94,70,Aggressive
83,11.9,32,24,2.9,79,70,Calm
84,21.8,44,30,5.0,90,72,Normal
85,17.6,39,27,4.1,86,72,Calm
86,30.1,53,36,6.6,100,71,Aggressive
87,13.9,34,25,3.2,81,71,Calm
88,26.7,48,33,5.8,94,71,Aggressive
89,12.1,32,24,2.8,80,71,Calm
90,23.0,45,30,5.3,91,71,Normal
91,15.3,37,26,3.5,82,70,Calm
92,27.5,49,33,6.0,97,70,Aggressive
93,18.4,40,28,4.4,87,71,Normal
94,13.6,34,25,3.1,81,70,Calm
95,24.7,46,31,5.5,92,71,Aggressive
96,10.6,30,23,2.5,77,70,Calm
97,21.0,43,29,4.8,89,72,Normal
98,29.3,52,35,6.4,99,71,Aggressive
99,16.8,38,27,3.9,84,70,Calm
100,22.6,44,30,5.1,90,71,Normal
101,14.3,36,26,3.3,83,71,Calm
102,26.2,48,33,5.8,94,70,Aggressive
103,19.0,41,29,4.6,88,72,Normal
104,12.7,33,25,3.0,81,71,Calm
105,28.1,50,34,6.1,96,70,Aggressive
106,17.4,39,27,4.1,86,71,Calm
107,23.6,45,30,5.3,91,70,Normal
108,11.6,31,24,2.7,79,70,Calm
109,25.3,47,32,5.6,93,71,Aggressive
110,20.4,42,28,4.7,89,72,Normal
111,15.1,36,26,3.4,82,71,Calm
112,27.1,49,33,6.0,97,70,Aggressive
113,18.7,40,28,4.4,87,72,Normal
114,13.3,34,25,3.1,81,71,Calm
115,24.0,46,31,5.4,92,71,Aggressive
116,10.5,30,23,2.5,77,71,Calm
117,21.2,43,29,4.9,90,72,Normal
118,29.1,52,35,6.4,99,71,Aggressive
119,16.4,38,27,3.8,84,71,Calm
120,22.9,44,30,5.2,91,70,Normal
